,hex,reg_number,flag,latitude,longitude,altitude_ft,dir,speed_mph,v_speed_mph,flight_number,flight_icao,flight_iata,departure_icao,departure_iata,arrival_icao,arrival_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type,squawk
44,E485AF,PT-MXG,CL,-28.883762,-50.488112,30413.3868,217.9,456.086314,0.0,3218,LAN3218,LA3218,SBGR,GRU,SBPA,POA,TAM,JJ,A321,2025-12-04 14:32:32,en-route,adsb,Unknown
45,E491AF,PT-XPG,CL,-21.996336,-49.062681,35839.89616,194.0,507.660107,0.0,3953,LAN3953,LA3953,SBBR,BSB,SBPA,POA,TAM,JJ,A321,2025-12-04 14:32:32,en-route,adsb,Unknown
46,E49A8B,PS-AEL,BR,-24.321828,-47.5308,28090.55208,226.0,429.367361,0.0,6024,AZU6024,AD6024,SBSP,CGH,SBCT,CWB,AZU,AD,E295,2025-12-04 14:32:32,en-route,adsb,Unknown
47,E48799,PR-MYK,CL,-23.316218,-46.335235,6856.9556,44.7,331.190743,0.0,3604,LAN3604,LA3604,SBGR,GRU,SBBE,BEL,TAM,JJ,A320,2025-12-04 14:32:32,en-route,adsb,Unknown
48,E49369,PR-YRL,BR,-25.094193,-45.514759,40764.437,45.6,566.690352,0.0,2663,AZU2663,AD2663,SBPA,POA,SBGL,GIG,AZU,AD,A20N,2025-12-04 14:32:32,en-route,adsb,Unknown
49,E4956E,PR-GZH,BR,-22.079462,-45.372984,33740.158559999996,35.9,573.525433,0.0,1650,GLO1650,G31650,SBGR,GRU,SBPS,BPS,GLO,G3,B738,2025-12-04 14:32:32,en-route,adsb,Unknown
50,E48CE7,PR-MYX,CL,-17.160034,-40.339287,34012.46828,191.2,515.116559,0.0,3517,LAN3517,LA3517,SBFZ,FOR,SBGL,GIG,TAM,JJ,A320,2025-12-04 14:32:32,en-route,adsb,Unknown
51,E4966D,PS-AEH,BR,-6.188302,-39.717433,40413.38712,112.7,480.31978300000003,0.0,4161,AZU4161,AD4161,SBTE,THE,SBRF,REC,AZU,AD,E295,2025-12-04 14:32:32,en-route,adsb,Unknown
52,E48045,PR-MHJ,CL,-13.430783,-38.580902,37063.64948,34.0,549.291964,0.0,3976,LAN3976,LA3976,SBSP,CGH,SBRF,REC,TAM,JJ,A320,2025-12-04 14:32:32,en-route,adsb,Unknown
53,E49B52,PS-GRB,BR,-9.270011,-37.689506,39288.059,23.7,557.369787,0.0,1588,GLO1588,G31588,SBGR,GRU,SBSG,NAT,GLO,G3,B38M,2025-12-04 14:32:32,en-route,adsb,Unknown
54,E8046D,CC-BGR,CL,-1.416046,-37.250999,42290.0276,204.5,518.844785,0.0,8067,LAN8067,LA8067,LFPG,CDG,SBGR,GRU,TAM,JJ,B789,2025-12-04 14:32:32,en-route,adsb,Unknown
55,E49312,PR-YRI,BR,-6.66153,-37.003989,39064.96188,129.0,490.88309,0.0,4017,AZU4017,AD4017,SBSL,SLZ,SBRF,REC,AZU,AD,A20N,2025-12-04 14:32:32,en-route,adsb,Unknown
