hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type,squawk
7C1471,VH-EBN,AU,34.415265,139.903779,5529,348.5,694,0,25,QFA25,QF25,YSSY,SYD,RJTT,HND,QFA,QF,A332,1764876752,en-route,adsb,
71C275,HL8275,KR,35.535926,126.909738,9468,6.0,833,0,624,KAL624,KE624,RPLL,MNL,RKSI,ICN,KAL,KE,B77W,1764876752,en-route,adsb,
06A0BB,A7-BCW,QA,22.660217,71.585901,13012,98.3,998,0,974,QTR974,QR974,OTHH,DOH,VVTS,SGN,QTR,QR,B788,1764876752,en-route,adsb,
70C0F7,A4O-MA,OM,18.40619,71.741484,11762,117.7,862,0,821,OMA821,WY821,OOMS,MCT,WMKK,KUL,OMA,WY,B38M,1764876752,en-route,adsb,
8964E8,A6-AOU,AE,11.550195,75.410232,11907,128.9,823,0,587,ABY587,G9587,OMSJ,SHJ,VCBI,CMB,ABY,G9,A320,1764876752,en-route,adsb,
800D36,VT-IZM,IN,25.212254,77.24962,11434,358.9,867,0,5274,IGO5274,6E5274,VOCI,COK,VIDP,DEL,IGO,6E,A20N,1764876752,en-route,adsb,
80152C,VT-IMY,IN,13.190503,77.595673,1396,89.8,270,0,691,IGO691,6E691,VOTV,TRV,VOBL,BLR,IGO,6E,A21N,1764876752,en-route,adsb,
06A07C,A7-BAP,QA,13.302939,79.350103,10939,301.6,918,0,1841,QTR1841,QR1841,VTSP,HKT,OTHH,DOH,QTR,QR,B77W,1764876752,en-route,adsb,
800AF1,VT-IFZ,IN,12.568963,82.177649,11594,266.9,809,0,1004,IGO1004,6E1004,WSSS,SIN,VOMM,MAA,IGO,6E,A320,1764876752,en-route,adsb,
3C7A45,D-ANRE,DE,23.333658,85.158653,10886,302.5,823,0,2363,CFG2363,DE2363,VTBS,BKK,EDDF,FRA,CFG,DE,A339,1764876752,en-route,adsb,
70C101,A4O-MG,OM,25.504982,54.790965,11693,120.2,925,0,406,OMA406,WY406,HECA,CAI,OOMS,MCT,OMA,WY,B38M,1764876752,en-route,adsb,
89633A,A6-EIP,AE,23.224197,56.529122,8950,298.2,805,0,335,ETD335,EY335,VOCI,COK,OMAA,AUH,ETD,EY,A320,1764876753,en-route,adsb,
7020B4,S2-AJH,BD,24.093673,61.892102,11099,89.4,948,0,342,UBG342,BS342,OMDB,DXB,VGHS,DAC,UBG,BS,B738,1764876753,en-route,adsb,
06A093,A7-AHI,QA,22.911918,68.881293,11129,94.7,914,0,590,QTR590,QR590,OTHH,DOH,VANP,NAG,QTR,QR,A320,1764876753,en-route,adsb,
4BB863,TC-NCC,TR,37.609421,30.847747,6131,8.0,749,0,1576,PGT1576,PC1576,LTAI,AYT,UUWW,VKO,PGT,PC,A20N,1764876753,en-route,adsb,
