hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status,type
0D0F14,XA-VUA,MX,22.209366,-104.634944,11876,123.3,896,0,1741,VOI1741,Y41741,KLAS,LAS,MMGL,GDL,VOI,Y4,A21N,1764726864,en-route,adsb
0D0867,XA-VLF,MX,21.525045,-104.415357,12196,314.8,800,0,3275,VOI3275,Y43275,MMPN,UPN,MMTJ,TIJ,VOI,Y4,A320,1764726864,en-route,adsb
0D099A,XA-VAR,MX,21.353267,-104.224342,8874,315.0,776,0,586,VIV586,VB586,MMGL,GDL,KOAK,OAK,VIV,VB,A320,1764726864,en-route,adsb
AA5078,N764AV,CO,22.743363,-102.530196,11549,314.8,805,0,532,AVA532,AV532,MSLP,SAL,KLAX,LAX,LRC,LR,A20N,1764726864,en-route,adsb
0D0866,XA-VLE,MX,22.039883,-102.208931,10383,198.0,779,0,1705,VOI1705,Y41705,KORD,ORD,MMGL,GDL,VOI,Y4,A320,1764726864,en-route,adsb
AAAD6D,N7874B,US,37.712053,-122.225439,10,311.2,24,0,3436,SWA3436,WN3436,KSNA,SNA,KOAK,OAK,SWA,WN,B737,1764726864,landed,adsb
3C65AD,D-AIMM,DE,42.741336,-118.431154,11602,212.6,989,0,458,DLH458,LH458,EDDM,MUC,KSFO,SFO,DLH,LH,A388,1764726864,en-route,adsb
C060C7,C-GKQW,CA,47.010984,-85.598931,11602,305.0,737,0,225,POE225,PD225,CYYZ,YYZ,CYQT,YQT,POE,PD,E295,1764726864,en-route,adsb
C045F1,C-GAMQ,CA,44.98409,-116.681917,10855,313.3,748,0,2153,WJA2153,WS2153,MMPR,PVR,CYVR,YVR,WJA,WS,B38M,1764726864,en-route,adsb
C043B7,C-FZQS,CA,49.87924,-94.725748,8546,107.3,951,0,270,ACA270,AC270,CYWG,YWG,CYYZ,YYZ,ACA,AC,A320,1764726864,en-route,adsb
A1CB05,N2142J,US,46.5808,-94.568003,10383,282.3,725,0,603,JBU603,B6603,KJFK,JFK,CYVR,YVR,JBU,B6,A21N,1764726864,en-route,adsb
C060C4,C-GKQT,CA,48.584661,-90.596419,9773,293.8,725,0,309,POE309,PD309,CYYZ,YYZ,CYVR,YVR,POE,PD,E295,1764726864,en-route,adsb
A6705C,N514AS,US,38.882977,-119.569837,9865,350.2,631,0,683,ASA683,AS683,KSAN,SAN,KSEA,SEA,ASA,AS,B738,1764726864,en-route,adsb
A126E7,N17311,US,34.443362,-119.260719,9087,127.3,861,0,1434,UAL1434,UA1434,KSFO,SFO,KSAN,SAN,UAL,UA,B38M,1764726864,en-route,adsb
E84074,HC-CPZ,CL,12.132551,-80.062352,12318,350.4,849,0,1451,LAN1451,LA1451,SEQM,UIO,KMIA,MIA,LNE,XL,A319,1764726864,en-route,adsb
A62C1A,N497WN,US,36.038483,-115.710174,4117,160.8,610,0,1662,SWA1662,WN1662,KRNO,RNO,KLAS,LAS,SWA,WN,B737,1764726864,en-route,adsb
A2B47F,N27334,US,36.073563,-114.870294,1907,269.0,340,0,1496,UAL1496,UA1496,KDEN,DEN,KLAS,LAS,UAL,UA,B38M,1764726864,en-route,adsb
ABF025,N8689C,US,36.220402,-114.021575,7289,82.6,904,0,1094,SWA1094,WN1094,KLAS,LAS,KMDW,MDW,SWA,WN,B738,1764726864,en-route,adsb
A3A086,N33266,US,33.72004,-116.783166,7822,100.8,770,0,259,UAL259,UA259,KDEN,DEN,KMCO,MCO,UAL,UA,A21N,1764726864,en-route,adsb
AAADDC,N7877H,US,34.395174,-116.595801,9034,229.0,832,0,1218,SWA1218,WN1218,KSLC,SLC,KLAX,LAX,SWA,WN,B737,1764726864,en-route,adsb
A3B186,N337TN,US,18.079184,-78.630664,10688,179.3,850,0,2259,AAL2259,AA2259,KMIA,MIA,SEQM,UIO,AAL,AA,B38M,1764726864,en-route,adsb
A44168,N37307,US,21.25616,-71.15836,11297,124.3,893,0,437,UAL437,UA437,KIAH,IAH,SYCJ,GEO,UAL,UA,B38M,1764726864,en-route,adsb
